,rank,name,league,total_goals_(2016-2023),spi
341,342,Slovan Bratislava,UEFA Europa Conference League,62,38.09
342,343,Ural Sverdlovsk Oblast,Russian Premier Liga,429,38.05
343,344,1. FC Heidenheim 1846,German 2. Bundesliga,576,37.99
344,345,Consadole Sapporo,Japanese J League,532,37.98
345,346,Krylia Sovetov,Russian Premier Liga,293,37.94
346,347,Sheffield Wednesday,English League One,716,37.92
347,348,KV Mechelen,Belgian Jupiler League,469,37.86
348,349,Toronto FC,Major League Soccer,688,37.8
349,350,Montreal Impact,Major League Soccer,652,37.68
350,351,Huracán,Argentina Primera Division,307,37.54
351,352,Djurgardens IF,Swedish Allsvenskan,523,37.54
352,353,Pacos Ferreira,Portuguese Liga,422,37.52
353,354,FC Juárez,Mexican Primera Division Torneo Clausura,316,37.41
354,355,Eibar,Spanish Segunda Division,667,37.24
355,356,Viking FK,Norwegian Tippeligaen,544,37.18
356,357,CA Independiente,Argentina Primera Division,319,37.18
357,358,Colon Santa Fe,Argentina Primera Division,319,37.1
358,359,Barnsley,English League One,702,37.05
359,360,Sochi,Russian Premier Liga,330,36.88
360,361,Charlotte FC,Major League Soccer,154,36.63
361,362,Birmingham,English League Championship,685,36.59
362,363,Alanyaspor,Turkish Turkcell Super Lig,644,36.58
363,364,Cardiff City,English League Championship,674,36.56
364,365,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,420,36.32
365,366,Las Palmas,Spanish Segunda Division,703,36.15
366,367,Godoy Cruz,Argentina Primera Division,358,36.05
367,368,Banfield,Argentina Primera Division,287,35.95
368,369,Randers FC,Danish SAS-Ligaen,468,35.92
369,370,SpVgg Greuther Fürth,German 2. Bundesliga,589,35.88
370,371,Ankaragucu,Turkish Turkcell Super Lig,385,35.82
371,372,Istanbulspor,Turkish Turkcell Super Lig,110,35.77
372,373,Chicago Fire,Major League Soccer,621,35.71
373,374,Querétaro,Mexican Primera Division Torneo Clausura,554,35.65
374,375,Troyes,French Ligue 1,541,35.64
375,376,Fakel Voronezh,Russian Premier Liga,84,35.58
376,377,Wigan,English League Championship,588,35.43
377,378,FC Groningen,Dutch Eredivisie,512,35.41
378,379,Excelsior,Dutch Eredivisie,325,35.38
379,380,Austria Lustenau,Austrian T-Mobile Bundesliga,112,35.32
380,381,Austin FC,Major League Soccer,260,35.29
381,382,Como,Italy Serie B,198,35.2
382,383,Sochaux,French Ligue 2,499,34.99
383,384,Houston Dynamo,Major League Soccer,634,34.92
384,385,Huddersfield Town,English League Championship,651,34.87
385,386,Emmen,Dutch Eredivisie,396,34.76
386,387,Grasshoppers Zürich,Swiss Raiffeisen Super League,430,34.74
387,388,Valerenga,Norwegian Tippeligaen,559,34.71
388,389,FK Nizhny Novgorod,Russian Premier Liga,147,34.47
389,390,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,208,34.24
390,391,Colorado Rapids,Major League Soccer,596,34.17
391,392,Queens Park Rangers,English League Championship,741,34.16
392,393,Hammarby,Swedish Allsvenskan,603,34.15
393,394,Holstein Kiel,German 2. Bundesliga,646,34.13
394,395,SV Darmstadt 98,German 2. Bundesliga,690,34.06
395,396,Real Salt Lake,Major League Soccer,640,33.96
396,397,Mazatlán FC,Mexican Primera Division Torneo Clausura,291,33.88
397,398,Instituto,Argentina Primera Division,42,33.86
398,399,Atlético Tucumán,Argentina Primera Division,329,33.82
399,400,Ballkani,UEFA Europa Conference League,19,33.76
400,401,Melbourne City,Australian A-League,455,33.7
401,402,Leganes,Spanish Segunda Division,606,33.56
402,403,FC Tokyo,Japanese J League,435,33.55
403,404,Sarmiento,Argentina Primera Division,150,33.37
404,405,Platense,Argentina Primera Division,165,33.33
405,406,Hartberg,Austrian T-Mobile Bundesliga,519,33.32
406,407,Pisa,Italy Serie B,392,33.21
407,408,Belgrano Cordoba,Argentina Primera Division,130,33.17
408,409,Cambuur Leeuwarden,Dutch Eredivisie,218,33.15
409,410,Rotherham United,English League Championship,550,33.06
410,411,Gimnasia La Plata,Argentina Primera Division,312,32.91
411,412,Sudtirol,Italy Serie B,75,32.81
412,413,St. Louis CITY SC,Major League Soccer,50,32.66
413,414,Sagan Tosu,Japanese J League,397,32.54
414,415,Bolton,English League One,651,32.49
415,416,Real Oviedo,Spanish Segunda Division,558,32.45
416,417,Sarpsborg,Norwegian Tippeligaen,555,32.35
417,418,Tromso,Norwegian Tippeligaen,473,32.3
418,419,Umraniyespor,Turkish Turkcell Super Lig,111,32.28
419,420,Palermo,Italy Serie B,408,32.24
420,421,Rigas Futbola Skola,UEFA Europa Conference League,13,32.23
421,422,AaB,Danish SAS-Ligaen,446,32.15
422,423,Villarreal B,Spanish Segunda Division,104,32.13
423,424,Giresunspor,Turkish Turkcell Super Lig,190,32.06
424,425,1. FC Kaiserslautern,German 2. Bundesliga,192,31.68
425,426,Málaga,Spanish Segunda Division,604,31.59
426,427,Blackpool,English League Championship,530,31.56
427,428,Plymouth Argyle,English League One,614,31.45
428,429,Racing Santander,Spanish Segunda Division,174,31.24
429,430,Dijon FCO,French Ligue 2,667,31.13
430,431,Central Córdoba Santiago del Estero,Argentina Primera Division,224,31.07
431,432,Barracas Central,Argentina Primera Division,113,31.0
432,433,Zalgiris Vilnius,UEFA Europa Conference League,13,30.99
433,434,St Mirren,Scottish Premiership,435,30.98
434,435,Central Coast Mariners,Australian A-League,440,30.82
435,436,Union Santa Fe,Argentina Primera Division,324,30.8
436,437,Peterborough United,English League One,629,30.77
437,438,IFK Norrkoping,Swedish Allsvenskan,550,30.69
438,439,Derby County,English League One,685,30.6
439,440,FC Cartagena,Spanish Segunda Division,312,30.57
440,441,FC Vaduz,Swiss Raiffeisen Super League,110,30.56
441,442,Sporting Gijón,Spanish Segunda Division,627,30.46
442,443,KV Kortrijk,Belgian Jupiler League,460,30.4
443,444,Inter Miami CF,Major League Soccer,298,30.28
444,445,Kalmar FF,Swedish Allsvenskan,467,30.22
445,446,Reading,English League Championship,1111,29.91
446,447,US Quevilly,French Ligue 2,289,29.83
447,448,Ascoli,Italy Serie B,571,29.62
448,449,SD Huesca,Spanish Segunda Division,558,29.43
449,450,Odd BK,Norwegian Tippeligaen,540,29.39
450,451,Kilmarnock,Scottish Premiership,440,29.31
451,452,St Johnstone,Scottish Premiership,512,29.23
452,453,OFI Crete,Greek Super League,334,29.2
453,454,Mirandes,Spanish Segunda Division,415,29.18
454,455,Valenciennes,French Ligue 2,551,29.08
455,456,Arminia Bielefeld,German 2. Bundesliga,565,29.04
456,457,1. FC Magdeburg,German 2. Bundesliga,191,28.89
457,458,Modena,Italy Serie B,100,28.78
458,459,Reggina,Italy Serie B,262,28.65
459,460,Rodez,French Ligue 2,303,28.47
460,461,HJK Helsinki,UEFA Europa League,35,28.47
461,462,Grenoble,French Ligue 2,377,28.32
462,463,Lyngby,Danish SAS-Ligaen,273,28.27
463,464,Guangzhou Evergrande,Chinese Super League,166,28.19
464,465,Portsmouth,English League One,574,28.06
465,466,SV Zulte Waregem,Belgian Jupiler League,581,27.95
466,467,Pau,French Ligue 2,273,27.53
467,468,Cittadella,Italy Serie B,566,27.52
468,469,Avispa Fukuoka,Japanese J League,185,27.26
469,470,Hannover 96,German 2. Bundesliga,596,27.15
470,471,Kashiwa Reysol,Japanese J League,383,27.13
471,472,Ross County,Scottish Premiership,494,27.12
472,473,Amiens,French Ligue 2,493,27.09
473,474,Orlando Pirates,South African ABSA Premier League,246,27.0
474,475,Spal,Italy Serie B,580,26.96
475,476,SD Ponferradina,Spanish Segunda Division,395,26.95
476,477,Perugia,Italy Serie B,493,26.91
