,rank,name,league,total_goals_(2016-2023),spi
65,66,SC Freiburg,German Bundesliga,714,66.38
66,67,Flamengo,Brasileiro Série A,650,66.27
67,68,Strasbourg,French Ligue 1,601,66.23
68,69,1. FC Union Berlin,German Bundesliga,598,65.99
69,70,Osasuna,Spanish Primera Division,658,65.37
70,71,Young Boys,Swiss Raiffeisen Super League,821,64.89
71,72,Atletico Mineiro,Brasileiro Série A,608,64.58
72,73,Getafe,Spanish Primera Division,481,64.58
73,74,AS Monaco,French Ligue 1,924,64.44
74,75,Leicester City,Barclays Premier League,877,64.42
75,76,KAA Gent,Belgian Jupiler League,641,64.08
76,77,Reims,French Ligue 1,495,63.87
77,78,Bologna,Italy Serie A,728,63.79
78,79,Werder Bremen,German Bundesliga,736,63.74
79,80,Fenerbahce,Turkish Turkcell Super Lig,726,63.68
80,81,Monterrey,Mexican Primera Division Torneo Clausura,651,63.66
81,82,Everton,Barclays Premier League,725,63.63
82,83,TSG Hoffenheim,German Bundesliga,842,63.26
83,84,Sassuolo,Italy Serie A,812,63.11
84,85,Slavia Prague,UEFA Europa Conference League,150,63.09
85,86,Braga,Portuguese Liga,711,62.98
86,87,Bodo/Glimt,Norwegian Tippeligaen,617,62.97
87,88,Burnley,English League Championship,672,62.94
88,89,Rayo Vallecano,Spanish Primera Division,626,62.63
89,90,Olympiacos,Greek Super League,486,62.25
90,91,Dinamo Zagreb,UEFA Champions League,122,61.85
91,92,Genk,Belgian Jupiler League,675,61.75
92,93,Clermont Foot,French Ligue 1,518,61.42
93,94,AEK Athens,Greek Super League,394,61.24
94,95,Club Brugge,Belgian Jupiler League,677,61.21
95,96,Tigres UANL,Mexican Primera Division Torneo Clausura,641,60.91
96,97,Club América,Mexican Primera Division Torneo Clausura,694,60.62
97,98,Toulouse,French Ligue 1,678,59.96
98,99,Udinese,Italy Serie A,708,59.92
99,100,Lecce,Italy Serie A,535,59.68
100,101,Mallorca,Spanish Primera Division,464,59.67
101,102,Antwerp,Belgian Jupiler League,556,59.6
102,103,AFC Bournemouth,Barclays Premier League,804,59.58
103,104,Schalke 04,German Bundesliga,718,59.46
104,105,CSKA Moscow,Russian Premier Liga,541,59.4
105,106,Wolverhampton,Barclays Premier League,592,59.06
106,107,Leeds United,Barclays Premier League,728,59.0
107,108,SK Sturm Graz,Austrian T-Mobile Bundesliga,607,58.95
108,109,River Plate,Argentina Primera Division,371,58.86
109,110,Espanyol,Spanish Primera Division,698,58.85
110,111,Monza,Italy Serie A,303,58.83
111,112,Vitesse,Dutch Eredivisie,633,58.82
112,113,São Paulo,Brasileiro Série A,539,58.71
113,114,Montpellier,French Ligue 1,706,58.56
114,115,Slovácko,UEFA Europa Conference League,19,58.54
115,116,Red Star Belgrade,UEFA Europa League,106,58.52
116,117,Cadiz,Spanish Primera Division,512,58.27
117,118,Adana Demirspor,Turkish Turkcell Super Lig,228,58.23
118,119,FC Copenhagen,Danish SAS-Ligaen,606,58.03
119,120,Union Saint Gilloise,Belgian Jupiler League,276,57.96
120,121,Botafogo,Brasileiro Série A,450,57.95
121,122,FC Utrecht,Dutch Eredivisie,601,57.74
122,123,Shakhtar Donetsk,UEFA Europa League,175,57.61
123,124,Elche,Spanish Primera Division,477,57.52
124,125,Almeria,Spanish Primera Division,603,57.43
125,126,FC Augsburg,German Bundesliga,695,57.19
126,127,Southampton,Barclays Premier League,737,56.74
127,128,Sheffield United,English League Championship,623,56.57
128,129,VfL Bochum,German Bundesliga,587,56.31
129,130,Fluminense,Brasileiro Série A,569,56.29
130,131,Nottingham Forest,Barclays Premier League,647,56.13
131,132,Sparta,Dutch Eredivisie,467,56.11
132,133,Middlesbrough,English League Championship,750,55.77
133,134,Brest,French Ligue 1,591,55.76
134,135,FC Midtjylland,Danish SAS-Ligaen,547,55.61
135,136,Luton Town,English League Championship,585,55.48
136,137,Pachuca,Mexican Primera Division Torneo Clausura,640,55.43
137,138,Viktoria Plzen,UEFA Champions League,88,54.85
138,139,FC Krasnodar,Russian Premier Liga,568,54.61
139,140,Ferencvaros,UEFA Europa League,72,54.55
140,141,Internacional,Brasileiro Série A,457,54.2
141,142,Lokomotiv Moscow,Russian Premier Liga,552,54.07
142,143,Trabzonspor,Turkish Turkcell Super Lig,689,53.94
143,144,Real Valladolid,Spanish Primera Division,595,53.94
144,145,Hertha Berlin,German Bundesliga,717,53.89
145,146,Philadelphia Union,Major League Soccer,634,53.79
146,147,Lorient,French Ligue 1,704,53.66
147,148,Bragantino,Brasileiro Série A,328,53.58
148,149,Empoli,Italy Serie A,754,53.35
149,150,Los Angeles FC,Major League Soccer,615,53.23
150,151,Spartak Moscow,Russian Premier Liga,555,53.19
151,152,Dynamo Kiev,UEFA Europa League,142,53.06
152,153,Fortaleza,Brasileiro Série A,371,53.06
153,154,Ipswich Town,English League One,653,52.93
154,155,Guimaraes,Portuguese Liga,548,52.69
155,156,Istanbul Basaksehir,Turkish Turkcell Super Lig,640,52.49
156,157,Molde,Norwegian Tippeligaen,698,52.41
157,158,Anderlecht,Belgian Jupiler League,557,52.32
158,159,León,Mexican Primera Division Torneo Clausura,654,52.16
159,160,Atlético Paranaense,Brasileiro Série A,545,52.13
160,161,SC Dnipro-1,UEFA Europa Conference League,17,52.11
161,162,Atlas,Mexican Primera Division Torneo Clausura,558,52.07
162,163,Lech Poznan,UEFA Europa Conference League,55,52.07
163,164,Swansea City,English League Championship,804,51.93
164,165,FK Austria Vienna,Austrian T-Mobile Bundesliga,636,51.89
165,166,Steaua Bucuresti,UEFA Europa Conference League,44,51.89
166,167,Fatih Karagümrük,Turkish Turkcell Super Lig,353,51.83
167,168,Terek Grozny,Russian Premier Liga,433,51.8
168,169,Go Ahead Eagles,Dutch Eredivisie,190,51.79
169,170,Yokohama F. Marinos,Japanese J League,561,51.65
170,171,Cercle Brugge,Belgian Jupiler League,479,51.43
171,172,FC Sheriff Tiraspol,UEFA Europa League,54,51.36
172,173,FK Partizan Belgrade,UEFA Europa Conference League,87,51.22
173,174,Nantes,French Ligue 1,645,51.13
174,175,LASK Linz,Austrian T-Mobile Bundesliga,636,51.11
175,176,Vasco da Gama,Brasileiro Série A,382,51.02
176,177,Corinthians,Brasileiro Série A,495,51.01
177,178,Coventry City,English League Championship,522,51.0
178,179,PAOK Salonika,Greek Super League,403,50.89
179,180,Guadalajara,Mexican Primera Division Torneo Clausura,569,50.82
180,181,Santos,Brasileiro Série A,533,50.66
181,182,Famalicao,Portuguese Liga,374,50.35
182,183,Verona,Italy Serie A,617,50.3
183,184,Cruz Azul,Mexican Primera Division Torneo Clausura,595,50.21
184,185,Vissel Kobe,Japanese J League,501,50.05
185,186,Konyaspor,Turkish Turkcell Super Lig,554,49.87
186,187,Metz,French Ligue 2,656,49.87
187,188,Boavista,Portuguese Liga,496,49.86
188,189,Frosinone,Italy Serie B,580,49.84
189,190,Heerenveen,Dutch Eredivisie,593,49.81
190,191,Cruzeiro,Brasileiro Série A,251,49.66
191,192,Talleres de Córdoba,Argentina Primera Division,338,49.59
192,193,Argentinos Juniors,Argentina Primera Division,296,49.42
193,194,FK Qarabag,UEFA Europa League,105,49.41
194,195,Maccabi Haifa,UEFA Champions League,37,49.35
195,196,Malmo FF,Swedish Allsvenskan,617,49.28
196,197,Hapoel Be'er,UEFA Europa Conference League,48,49.22
197,198,BK Hacken,Swedish Allsvenskan,547,49.06
198,199,Spezia,Italy Serie A,624,48.74
199,200,NEC,Dutch Eredivisie,177,48.69
200,201,Toluca,Mexican Primera Division Torneo Clausura,707,48.62
201,202,Salernitana,Italy Serie A,615,48.6
202,203,West Bromwich Albion,English League Championship,776,48.56
203,204,Gil Vicente,Portuguese Liga,321,48.55
204,205,Rapid Vienna,Austrian T-Mobile Bundesliga,677,48.53
205,206,Chaves,Portuguese Liga,268,48.45
206,207,Auxerre,French Ligue 1,542,48.38
207,208,Cagliari,Italy Serie B,722,48.18
208,209,FC Cincinnati,Major League Soccer,543,48.12
209,210,Vizela,Portuguese Liga,167,48.07
210,211,Santos Laguna,Mexican Primera Division Torneo Clausura,679,47.86
211,212,Stoke City,English League Championship,747,47.79
212,213,AGF Aarhus,Danish SAS-Ligaen,437,47.76
213,214,Cremonese,Italy Serie A,541,47.61
214,215,FC Arouca,Portuguese Liga,157,47.57
215,216,Gazovik Orenburg,Russian Premier Liga,260,47.55
216,217,Boca Juniors,Argentina Primera Division,332,47.55
217,218,Atlanta United FC,Major League Soccer,645,47.5
218,219,Panathinaikos,Greek Super League,282,47.49
219,220,Millwall,English League Championship,625,47.41
220,221,Genoa,Italy Serie B,667,47.31
221,222,Aris Salonika,Greek Super League,341,47.22
222,223,Grêmio,Brasileiro Série A,486,47.17
223,224,Angers,French Ligue 1,648,47.09
224,225,Estudiantes,Argentina Primera Division,326,46.97
225,226,Dinamo Moscow,Russian Premier Liga,437,46.57
226,227,Nashville SC,Major League Soccer,442,46.5
